Time,R_PositionX,R_PositionY,R_PositionZ,R_RotationX,R_RotationY,R_RotationZ,R_RotationW,R_CurlIndex,R_CurlMiddle,R_CurlRing,R_CurlPinky,R_CurlThumb,L_PositionX,L_PositionY,L_PositionZ,L_RotationX,L_RotationY,L_RotationZ,L_RotationW,L_CurlIndex,L_CurlMiddle,L_CurlRing,L_CurlPinky,L_CurlThumb,Mudra
0.238023,-0.0983897,0.8764732,0.3462822,-0.5719084,0.2887429,0.1876771,0.7445306,5.960464e-08,0.05728893,0.2775431,0.2168957,0.4810863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.3261137,-0.09834383,0.8765148,0.3462527,-0.5721042,0.2890251,0.1876424,0.7442793,5.960464e-08,0.05583529,0.2769005,0.2168909,0.4804522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.3482984,-0.09822518,0.8764617,0.3464409,-0.5720786,0.2892672,0.188384,0.7440174,5.960464e-08,0.05666896,0.2768373,0.2168905,0.4807648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.362411,-0.09810568,0.8761619,0.3463416,-0.5723863,0.2885478,0.1900012,0.7436489,5.960464e-08,0.0568438,0.2768241,0.2168904,0.4808305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.3754438,-0.09804405,0.875967,0.3462748,-0.5723417,0.2885931,0.1902243,0.7436086,5.960464e-08,0.05709567,0.2768049,0.2168902,0.4765043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.3881253,-0.0980601,0.875872,0.3460247,-0.572594,0.2886027,0.1903965,0.7433665,5.960464e-08,0.05718507,0.2767982,0.2168901,0.4749544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.4113805,-0.09810899,0.8757886,0.345861,-0.5728709,0.288594,0.1903343,0.7431725,5.960464e-08,0.05731396,0.2767884,0.2168901,0.4727254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.4331028,-0.09803305,0.8756853,0.3460372,-0.572818,0.2884919,0.1903555,0.7432475,5.960464e-08,0.05739651,0.2767821,0.2168901,0.4713006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.4477517,-0.098056,0.8755214,0.345761,-0.5729075,0.2884884,0.190805,0.7430645,5.960464e-08,0.05744928,0.2767782,0.21689,0.4703894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.4689918,-0.09797411,0.8754075,0.3459052,-0.5728099,0.288468,0.1911071,0.7430701,5.960464e-08,0.05748303,0.2767755,0.21689,0.4698065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.4856315,-0.09787743,0.875313,0.3459653,-0.5725677,0.2884265,0.191581,0.7431508,5.960464e-08,0.05749491,0.2767746,0.21689,0.4695993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.4995775,-0.09788843,0.8752558,0.3457617,-0.5727625,0.2885393,0.191742,0.7429153,5.960464e-08,0.05751235,0.2767733,0.21689,0.469301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.5191376,-0.09784538,0.8752217,0.3456089,-0.5730646,0.2884549,0.1914823,0.7427821,5.960464e-08,0.05751843,0.2767729,0.21689,0.469195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.5476399,-0.0976667,0.8751597,0.3455341,-0.5733521,0.2882893,0.1913979,0.7426464,5.960464e-08,0.0575305,0.276772,0.21689,0.468988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.0,-0.09616873,0.8745514,0.3447961,-0.5742311,0.2903571,0.1919907,0.7410069,5.960464e-08,0.05754298,0.2767711,0.21689,0.4687714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.05132967,-0.09595201,0.8738914,0.3448299,-0.5740417,0.2901319,0.1919648,0.7412483,5.960464e-08,0.05754298,0.2767711,0.21689,0.4687711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.07698232,-0.09584876,0.8736607,0.344853,-0.5735075,0.2903689,0.1914329,0.7417065,5.960464e-08,0.05754304,0.2767711,0.21689,0.4687709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.09717059,-0.0957621,0.8729347,0.3448022,-0.5728214,0.2901837,0.1905903,0.7425256,5.960464e-08,0.05754304,0.2767711,0.21689,0.4687709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.1150072,-0.09538078,0.8723385,0.3452357,-0.5720746,0.2904532,0.1904725,0.7430261,5.960464e-08,0.05754304,0.2767711,0.21689,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.1326503,-0.09507065,0.8718296,0.3455955,-0.5712653,0.2911082,0.1906395,0.7433496,5.960464e-08,0.05754304,0.2767711,0.2123332,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.1512023,-0.09482419,0.8715191,0.346052,-0.5706068,0.2918823,0.190712,0.7435331,5.960464e-08,0.05754304,0.2767711,0.2094124,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.1722041,-0.09455376,0.8713934,0.3465098,-0.5699574,0.2928967,0.1900952,0.7437903,5.960464e-08,0.05754304,0.2767711,0.2039107,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.1909713,-0.09428924,0.8714389,0.3469717,-0.5693458,0.2936133,0.1895287,0.7441207,5.960464e-08,0.05754304,0.2767711,0.2004188,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.2128001,-0.09391846,0.871814,0.3477349,-0.5686955,0.2945378,0.1900659,0.7441155,5.960464e-08,0.05754304,0.2767711,0.1981822,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.2318628,-0.09375677,0.8724883,0.3482538,-0.5681524,0.2964764,0.192706,0.7430807,5.960464e-08,0.05754304,0.2767711,0.1967497,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.2485266,-0.0935547,0.873562,0.3485438,-0.5683962,0.2973698,0.1937844,0.7422565,5.960464e-08,0.05754304,0.2767711,0.1962403,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.2645968,-0.09337314,0.8744814,0.3489725,-0.5688131,0.2976267,0.1945172,0.7416422,5.960464e-08,0.05754304,0.2767711,0.2036321,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.2884935,-0.09325132,0.8752174,0.3492222,-0.5691658,0.298075,0.1953613,0.7409694,5.960464e-08,0.05754304,0.2767711,0.2083924,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.3058271,-0.09312154,0.8759995,0.3494879,-0.5696548,0.2986974,0.1965342,0.7400322,5.960464e-08,0.05754304,0.2767711,0.2114551,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
0.3196346,-0.09166501,0.8771462,0.3483659,-0.5741968,0.2943469,0.1961184,0.7383736,5.960464e-08,0.05754304,0.2767711,0.2125429,0.4687708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Mudra/No Movement/Transition
